m,k,NZ,xBlockSize,yBlockSize,CRS,ELLPACK,CRS performance,ELLPACK performance,Serial CRS performance,Serial ELLPACK performance
121192,1,2624331,8,1,1,1,10.8228,12.151,1.16135,0.529064
121192,1,2624331,8,2,1,1,14.7613,16.8191,1.16135,0.529064
121192,1,2624331,8,4,1,1,18.2739,20.414,1.16135,0.529064
121192,1,2624331,8,8,1,1,20.3029,21.435,1.16135,0.529064
121192,1,2624331,8,16,1,1,20.5011,21.1976,1.16135,0.529064
121192,1,2624331,16,1,1,1,10.818,12.168,1.16135,0.529064
121192,1,2624331,16,2,1,1,14.8446,16.6457,1.16135,0.529064
121192,1,2624331,16,4,1,1,18.3167,19.4095,1.16135,0.529064
121192,1,2624331,16,8,1,1,18.5875,19.2894,1.16135,0.529064
121192,1,2624331,16,16,1,1,18.7833,19.4611,1.16135,0.529064
121192,1,2624331,32,1,1,1,11.1885,12.506,1.16135,0.529064
121192,1,2624331,32,2,1,1,14.8176,15.6601,1.16135,0.529064
121192,1,2624331,32,4,1,1,15.2823,15.6634,1.16135,0.529064
121192,1,2624331,32,8,1,1,15.1269,15.6878,1.16135,0.529064
121192,1,2624331,32,16,1,1,15.3044,15.5738,1.16135,0.529064
121192,1,2624331,64,1,1,1,11.2781,12.5771,1.16135,0.529064
121192,1,2624331,64,2,1,1,14.5457,15.4056,1.16135,0.529064
121192,1,2624331,64,4,1,1,14.6257,15.3054,1.16135,0.529064
121192,1,2624331,64,8,1,1,14.4649,15.0603,1.16135,0.529064
121192,1,2624331,64,16,1,1,13.6345,14.3152,1.16135,0.529064
121192,2,2624331,8,1,1,1,18.938,21.2884,2.28279,1.04255
121192,2,2624331,8,2,1,1,24.5363,26.8689,2.28279,1.04255
121192,2,2624331,8,4,1,1,28.7088,31.6683,2.28279,1.04255
121192,2,2624331,8,8,1,1,31.0419,33.339,2.28279,1.04255
121192,2,2624331,8,16,1,1,31.2979,33.2345,2.28279,1.04255
121192,2,2624331,16,1,1,1,18.9601,21.2919,2.28279,1.04255
121192,2,2624331,16,2,1,1,24.594,26.8491,2.28279,1.04255
121192,2,2624331,16,4,1,1,28.8032,30.6033,2.28279,1.04255
121192,2,2624331,16,8,1,1,28.828,30.9532,2.28279,1.04255
121192,2,2624331,16,16,1,1,29.2263,30.5171,2.28279,1.04255
121192,2,2624331,32,1,1,1,18.9788,21.183,2.28279,1.04255
121192,2,2624331,32,2,1,1,24.3461,25.6449,2.28279,1.04255
