m,k,NZ,threads,chunk size,CRS,ELLPACK,CRS performance,ELLPACK performance,Serial CRS performance,Serial ELLPACK performance
121192,1,2624331,1,2,1,1,0.603573,0.409776,1.17206,0.534086
121192,1,2624331,1,4,1,1,0.664878,0.415187,1.17206,0.534086
121192,1,2624331,1,8,1,1,0.699079,0.423185,1.17206,0.534086
121192,1,2624331,1,16,1,1,0.717896,0.426806,1.17206,0.534086
121192,1,2624331,1,32,1,1,0.728205,0.428357,1.17206,0.534086
121192,1,2624331,1,64,1,1,0.732641,0.429101,1.17206,0.534086
121192,1,2624331,1,128,1,1,0.735626,0.346463,1.17206,0.534086
121192,1,2624331,1,256,1,1,0.681259,0.430263,1.17206,0.534086
121192,1,2624331,2,2,1,1,0.366836,0.324285,1.17135,0.533947
121192,1,2624331,2,4,1,1,0.498554,0.332132,1.17135,0.533947
121192,1,2624331,2,8,1,1,0.758888,0.432865,1.17135,0.533947
121192,1,2624331,2,16,1,1,0.921829,0.522879,1.17135,0.533947
121192,1,2624331,2,32,1,1,1.12551,0.679837,1.17135,0.533947
121192,1,2624331,2,64,1,1,1.26471,0.781683,1.17135,0.533947
121192,1,2624331,2,128,1,1,1.3643,0.816587,1.17135,0.533947
121192,1,2624331,2,256,1,1,1.42091,0.847277,1.17135,0.533947
121192,1,2624331,3,2,1,1,0.424297,0.364939,1.08027,0.502287
121192,1,2624331,3,4,1,1,0.642015,0.418326,1.08027,0.502287
121192,1,2624331,3,8,1,1,1.10865,0.610343,1.08027,0.502287
121192,1,2624331,3,16,1,1,1.43647,0.856445,1.08027,0.502287
121192,1,2624331,3,32,1,1,1.73366,1.0583,1.08027,0.502287
121192,1,2624331,3,64,1,1,1.89125,1.1711,1.08027,0.502287
121192,1,2624331,3,128,1,1,1.96727,1.21436,1.08027,0.502287
121192,1,2624331,3,256,1,1,1.97613,1.20049,1.08027,0.502287
121192,1,2624331,4,2,1,1,0.483468,0.438122,1.10578,0.504339
121192,1,2624331,4,4,1,1,0.710674,0.499872,1.10578,0.504339
121192,1,2624331,4,8,1,1,1.36187,0.759813,1.10578,0.504339
121192,1,2624331,4,16,1,1,1.80856,1.119,1.10578,0.504339
121192,1,2624331,4,32,1,1,2.24624,1.41578,1.10578,0.504339
121192,1,2624331,4,64,1,1,2.51495,1.56891,1.10578,0.504339
121192,1,2624331,4,128,1,1,2.6104,1.62878,1.10578,0.504339
121192,1,2624331,4,256,1,1,2.62971,1.64167,1.10578,0.504339
121192,1,2624331,5,2,1,1,0.559349,0.458273,0.891181,0.450297
121192,1,2624331,5,4,1,1,0.872871,0.576805,0.891181,0.450297
121192,1,2624331,5,8,1,1,1.66237,0.914573,0.891181,0.450297
121192,1,2624331,5,16,1,1,2.20317,1.38543,0.891181,0.450297
121192,1,2624331,5,32,1,1,2.74098,1.71522,0.891181,0.450297
121192,1,2624331,5,64,1,1,3.03229,1.88691,0.891181,0.450297
121192,1,2624331,5,128,1,1,3.13158,1.95871,0.891181,0.450297
121192,1,2624331,5,256,1,1,3.17305,1.99305,0.891181,0.450297
121192,1,2624331,6,2,1,1,0.491903,0.498888,0.9084,0.463725
121192,1,2624331,6,4,1,1,0.881071,0.643763,0.9084,0.463725
121192,1,2624331,6,8,1,1,1.83252,1.08894,0.9084,0.463725
121192,1,2624331,6,16,1,1,2.49825,1.65809,0.9084,0.463725
121192,1,2624331,6,32,1,1,3.22882,2.04127,0.9084,0.463725
121192,1,2624331,6,64,1,1,3.54531,2.22535,0.9084,0.463725
121192,1,2624331,6,128,1,1,3.65465,2.30145,0.9084,0.463725
121192,1,2624331,6,256,1,1,3.68505,2.33749,0.9084,0.463725
121192,1,2624331,7,2,1,1,0.581592,0.526205,0.907658,0.463966
121192,1,2624331,7,4,1,1,1.03634,0.71563,0.907658,0.463966
121192,1,2624331,7,8,1,1,2.05914,1.24016,0.907658,0.463966
121192,1,2624331,7,16,1,1,2.89091,1.87894,0.907658,0.463966
121192,1,2624331,7,32,1,1,3.71135,2.33385,0.907658,0.463966
121192,1,2624331,7,64,1,1,4.10394,2.53873,0.907658,0.463966
121192,1,2624331,7,128,1,1,4.20642,2.62864,0.907658,0.463966
121192,1,2624331,7,256,1,1,4.33728,2.6114,0.907658,0.463966
